id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed
4524,825,Visa,Debit,4344676511950444.0,12/2022,623,YES,2,24295.0,2002-09-01,2008
2731,825,Visa,Debit,4956965974959986.0,12/2020,393,YES,2,21968.0,2014-04-01,2014
3701,825,Visa,Debit,4582313478255491.0,02/2024,719,YES,2,46414.0,2003-07-01,2004
42,825,Visa,Credit,4879494103069057.0,08/2024,693,NO,1,12400.0,2003-01-01,2012
4659,825,Mastercard,Debit (Prepaid),5722874738736011.0,03/2009,75,YES,1,28.0,2008-09-01,2009
4537,1746,Visa,Credit,4404898874682993.0,09/2003,736,YES,1,27500.0,2003-09-01,2012
1278,1746,Visa,Debit,4001482973848631.0,07/2022,972,YES,2,28508.0,2011-02-01,2011
3687,1746,Mastercard,Debit,5627220683410948.0,06/2022,48,YES,2,9022.0,2003-07-01,2015
3465,1746,Mastercard,Debit (Prepaid),5711382187309326.0,11/2020,722,YES,2,54.0,2010-06-01,2015
3754,1746,Mastercard,Debit (Prepaid),5766121508358701.0,02/2023,908,YES,1,99.0,2006-07-01,2012
5144,1718,Mastercard,Debit,5495199163052054.0,03/2022,677,YES,2,31599.0,2009-10-01,2009
2029,1718,Mastercard,Debit,5804499644308599.0,07/2023,258,NO,2,27480.0,2002-03-01,2008
2379,1718,Mastercard,Debit,5766352389579834.0,02/2020,992,YES,1,26743.0,2019-03-01,2019
2732,1718,Visa,Debit,4242015583697294.0,06/2020,928,YES,1,31463.0,2014-04-01,2014
4706,1718,Mastercard,Debit,5191030913182493.0,06/2024,360,YES,1,16055.0,2009-09-01,2009
281,708,Visa,Credit,4017261190134817.0,05/2015,877,YES,2,98100.0,2011-01-01,2011
1106,708,Mastercard,Debit (Prepaid),5581970288727991.0,06/2020,448,YES,1,62.0,2007-02-01,2007
5621,708,Visa,Debit,4032240655674503.0,06/2022,53,YES,1,132439.0,2010-11-01,2011
5165,708,Visa,Debit,4935974646456357.0,06/2020,649,YES,1,125723.0,2009-10-01,2010
5757,1164,Mastercard,Debit,5905027855347659.0,01/2022,886,YES,1,34900.0,1999-12-01,2012
27,68,Visa,Credit,4099623033306950.0,09/2021,74,YES,2,9900.0,2002-01-01,2019
4648,68,Visa,Debit,4281200324251212.0,07/2013,865,YES,2,21587.0,2007-09-01,2007
5435,68,Visa,Credit,4411456925570768.0,11/2022,922,YES,2,15800.0,2005-11-01,2011
3287,1075,Mastercard,Debit,5202477865497336.0,04/2022,861,YES,1,29964.0,2005-06-01,2014
4761,1075,Mastercard,Credit,5089768442116305.0,07/2023,686,YES,2,11200.0,2010-09-01,2010
5286,1075,Mastercard,Debit,5767339719294372.0,12/2021,669,NO,2,26753.0,2014-10-01,2014
5559,1116,Mastercard,Debit,5341049613275152.0,09/2021,396,YES,2,26546.0,2009-11-01,2009
4905,1116,Mastercard,Debit,5668831527649353.0,01/2021,356,YES,1,23253.0,2017-09-01,2017
79,1116,Visa,Credit,4400056931148232.0,02/2021,497,YES,1,16100.0,2005-01-01,2014
301,1116,Visa,Credit,4808554251869440.0,02/2021,921,YES,2,8700.0,2012-01-01,2012
3115,1116,Mastercard,Debit,5224739362243611.0,01/2019,922,YES,1,29333.0,2012-05-01,2012
3880,1752,Mastercard,Debit,5294178176133532.0,07/2024,265,YES,2,9496.0,2009-07-01,2012
138,1094,Visa,Debit,4556928160477229.0,06/2023,64,YES,2,2365.0,2007-01-01,2009
3755,1094,Mastercard,Debit,5515782790823587.0,06/2023,419,YES,2,18684.0,2006-07-01,2017
1768,1094,Visa,Credit,4508388296516458.0,02/2021,364,NO,2,7400.0,2020-02-01,2020
6074,1660,Visa,Debit (Prepaid),4986270376099447.0,04/2022,385,YES,1,76.0,2012-12-01,2012
5923,1660,Discover,Credit,6726060094896113.0,01/2009,105,NO,1,4700.0,2008-12-01,2014
4223,1660,Visa,Credit,4157109762296149.0,06/2021,433,YES,2,5800.0,2007-08-01,2011
4455,1660,Mastercard,Debit,5231462717450524.0,03/2024,754,YES,2,12082.0,2016-08-01,2016
3234,1660,Mastercard,Credit,5074836567307562.0,03/2023,741,NO,2,6000.0,2002-06-01,2010
1005,1660,Visa,Debit,4986369179342271.0,11/2009,367,YES,1,620.0,2002-02-01,2014
1028,153,Discover,Credit,6580244636542196.0,04/2011,416,YES,1,11200.0,2004-02-01,2008
5956,153,Mastercard,Debit,5032457975030967.0,10/2024,240,YES,2,20291.0,2009-12-01,2011
