id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards
825,53,66,1966,11,Female,462 Rose Lane,34.15,-117.76,29278.0,59696.0,127613.0,787,5
1746,53,68,1966,12,Female,3606 Federal Boulevard,40.76,-73.74,37891.0,77254.0,191349.0,701,5
1718,81,67,1938,11,Female,766 Third Drive,34.02,-117.89,22681.0,33483.0,196.0,698,5
708,63,63,1957,1,Female,3 Madison Street,40.71,-73.99,163145.0,249925.0,202328.0,722,4
1164,43,70,1976,9,Male,9620 Valley Stream Drive,37.76,-122.44,53797.0,109687.0,183855.0,675,1
68,42,70,1977,10,Male,58 Birch Lane,41.55,-90.6,20599.0,41997.0,0.0,704,3
1075,36,67,1983,12,Female,5695 Fifth Street,38.22,-85.74,25258.0,51500.0,102286.0,672,3
1116,81,66,1938,7,Female,11 Spruce Avenue,40.32,-75.32,26273.0,42509.0,2895.0,755,5
1752,34,60,1986,1,Female,887 Grant Street,29.97,-92.12,18730.0,38190.0,81262.0,810,1
1094,34,62,1985,10,Male,74786 Jefferson Drive,44.75,-85.6,20325.0,41442.0,78833.0,712,3
1660,41,68,1978,4,Female,40 Washington Drive,36.73,-102.51,11342.0,23123.0,5079.0,723,6
153,76,71,1943,8,Female,172 Birch Street,35.29,-111.32,21950.0,27484.0,16803.0,660,4
511,66,68,1953,10,Male,153 Tenth Lane,32.21,-110.88,17460.0,35602.0,55369.0,661,5
1946,76,66,1943,6,Male,9186 Washington Avenue,41.47,-81.67,19524.0,41109.0,21486.0,698,2
1674,70,64,1949,4,Male,5073 Wessex Avenue,35.49,-90.35,14172.0,26858.0,11245.0,712,2
877,36,63,1983,8,Female,801 Mill Boulevard,33.44,-111.85,16829.0,34317.0,61826.0,610,3
128,40,66,1979,4,Female,6914 Wessex Avenue,29.76,-95.38,15389.0,31377.0,59615.0,722,2
140,37,72,1983,2,Female,108 Washington Street,36.28,-86.83,20657.0,42120.0,72801.0,739,4
1874,49,66,1970,9,Male,7505 Tenth Boulevard,25.77,-80.2,18828.0,38390.0,87923.0,783,4
379,47,65,1972,11,Female,837 Lincoln Avenue,30.68,-88.04,21331.0,43496.0,114563.0,765,3
34,41,55,1978,8,Male,7467 Spruce Drive,38.48,-121.34,25431.0,51854.0,72162.0,737,2
822,51,68,1968,4,Female,6323 Sussex Boulevard,32.61,-117.03,16942.0,34540.0,22641.0,793,5
1499,46,62,1973,11,Male,8738 Fourth Street,41.97,-88.14,20248.0,41287.0,88151.0,662,1
811,91,68,1929,2,Female,5492 Maple Drive,38.9,-94.68,51642.0,84694.0,2149.0,741,7
